,userId,movieId,rating,timestamp
36,181,1081,1,878962623
213,181,220,4,878962392
276,181,264,2,878961624
281,181,872,1,878961814
302,181,3,2,878963441
331,181,1295,1,878961781
447,181,279,1,878962955
452,181,325,2,878961814
476,181,938,1,878961586
540,181,306,1,878962006
554,181,741,1,878962918
583,181,1015,1,878963121
665,181,762,2,878963418
691,181,121,4,878962623
730,181,870,2,878962623
749,181,1060,1,878962675
787,181,1288,1,878962349
805,181,927,1,878962675
808,181,696,2,878962997
815,181,405,4,878962919
907,181,930,1,878963275
1060,181,619,3,878963086
1082,181,334,1,878961749
1156,181,14,1,878962392
1189,181,1332,1,878962278
1271,181,1334,1,878962240
1283,181,1327,1,878963305
1319,181,328,3,878961227
1379,181,1,3,878962392
1450,181,240,1,878963122
1477,181,1010,1,878962774
1611,181,1094,1,878963086
1639,181,408,1,878962550
1799,181,874,1,878961749
1902,181,1383,1,878962086
2057,181,1342,1,878962168
2099,181,16,1,878962996
2115,181,327,3,878961780
2150,181,979,2,878963241
2176,181,221,1,878962465
2180,181,995,1,878961585
2315,181,1164,3,878962464
2383,181,1001,1,878963038
2460,181,1348,1,878962200
2466,181,302,2,878961511
2662,181,1320,1,878962279
2737,181,1324,1,878962464
2941,181,597,3,878963276
2966,181,1093,1,878962391
2977,181,304,1,878961586
3165,181,1322,1,878962086
3169,181,1364,1,878962464
3178,181,680,1,878961709
3301,181,123,2,878963276
3393,181,20,1,878962919
3491,181,975,2,878963343
3747,181,7,4,878963037
3795,181,124,1,878962550
3826,181,823,2,878963343
3828,181,369,3,878963418
3852,181,688,1,878961668
3855,181,457,1,878961474
3904,181,406,1,878962955
3941,181,359,1,878961668
4017,181,1346,1,878962086
4233,181,1393,1,878961709
4304,181,1351,1,878962168
4318,181,1198,1,878962585
4370,181,926,1,878962866
4401,181,321,2,878961623
4481,181,1067,1,878962550
4602,181,887,1,878962005
4868,181,1347,1,878962052
5160,181,286,1,878961173
5229,181,1051,2,878962586
5320,181,1362,1,878962200
5333,181,1265,1,878961668
5489,181,764,1,878962866
5605,181,1291,1,878963167
5659,181,301,2,878961303
6251,181,1312,1,878962349
6302,181,824,1,878963305
6305,181,1384,1,878962052
6334,181,882,1,878962006
6459,181,1128,1,878962279
6476,181,1371,1,878962240
6559,181,335,1,878961748
6604,181,1318,1,878962349
6676,181,319,3,878961173
6686,181,676,3,878962392
6700,181,742,4,878962623
6813,181,1202,1,878962720
7048,181,458,3,878962350
7055,181,1386,1,878962119
7147,181,933,1,878962675
7229,181,1120,1,878962279
7271,181,330,1,878961668
7290,181,866,1,878963037
7729,181,1048,2,878963275
7885,181,829,1,878962675
7914,181,21,1,878963381
7934,181,112,1,878962955
7960,181,1390,1,878962052
7978,181,1282,1,878962496
8009,181,148,2,878963204
8085,181,1370,1,878962550
8094,181,1272,1,878962349
8121,181,840,1,878963204
8122,181,1259,1,878962496
8145,181,1378,1,878962169
8329,181,324,1,878961814
8363,181,269,1,878961511
8386,181,276,2,878962816
8442,181,827,2,878963276
8476,181,1289,1,878962866
8483,181,766,1,878962675
8564,181,283,3,878963241
8567,181,1373,1,878962052
8647,181,922,1,878963305
9056,181,978,1,878963305
9309,181,740,2,878963085
9384,181,149,1,878962719
9470,181,256,1,878962086
9503,181,125,3,878962816
9567,181,368,1,878963440
9584,181,1385,1,878962051
9723,181,10,2,878962955
9886,181,834,3,878962720
9908,181,1017,1,878962496
9932,181,1057,2,878963381
10005,181,1087,1,878962496
10014,181,846,3,878962586
10151,181,819,3,878962550
10175,181,928,3,878963241
10355,181,266,1,878961709
10377,181,682,4,878961586
10383,181,1068,1,878962052
